ts,open,high,low,close,volume,ema20,atr14,vol_sma20
2025-05-13 19:00:00,21378.0,21414.0,21368.0,21390.0,5941,21352.74583754822,64.12579918494052,10385.45
2025-05-13 20:00:00,21391.0,21483.0,21383.0,21444.0,10472,21361.436710162674,66.6882421003019,9939.1
2025-05-13 21:00:00,21444.0,21513.0,21413.0,21503.0,15559,21374.91892824242,69.06765337885177,9728.15
2025-05-13 22:00:00,21503.0,21657.0,21492.0,21654.0,24103,21401.49807793362,75.91996385179092,10442.95
2025-05-13 23:00:00,21656.0,21688.0,21635.0,21687.0,12634,21428.688737178036,74.282823576663,10676.05
2025-05-14 00:00:00,21687.0,21704.0,21590.0,21685.0,13139,21453.09933363727,77.1197647497585,11020.75
2025-05-14 01:00:00,21685.0,21723.0,21665.0,21669.0,5964,21473.661301862292,75.75406726763289,11232.45
2025-05-14 02:00:00,21669.0,21698.0,21656.0,21698.0,2177,21495.02689216112,73.34306246280197,11208.7
2025-05-14 03:00:00,21698.0,21719.0,21673.0,21698.0,2038,21514.357664336254,71.38998657260184,11200.35
2025-05-14 04:00:00,21697.0,21697.0,21662.0,21678.0,2057,21529.94264868518,68.86213038884456,11295.4
2025-05-14 05:00:00,21677.0,21679.0,21674.0,21674.0,85,21543.66239642945,64.30054964678423,10775.35
2025-05-14 08:00:00,21670.0,21719.0,21661.0,21697.0,7638,21558.26597772188,63.850510386299646,9180.9
2025-05-14 09:00:00,21696.0,21729.0,21613.0,21668.0,36288,21568.71683698646,67.57547393013539,9524.3
2025-05-14 10:00:00,21669.0,21686.0,21580.0,21615.0,21633,21573.12475727346,70.32008293512573,9728.4
2025-05-14 11:00:00,21616.0,21691.0,21614.0,21688.0,12685,21584.06525658075,70.79721986833103,9939.45
2025-05-14 12:00:00,21688.0,21785.0,21682.0,21771.0,18232,21601.868565477824,73.09741844916454,10380.55
2025-05-14 13:00:00,21770.0,21787.0,21729.0,21770.0,11115,21617.881083051365,72.01903141708135,10739.1
2025-05-14 15:00:00,21800.0,21882.0,21762.0,21786.0,15281,21633.892408475043,75.4462434587184,11308.05
2025-05-14 16:00:00,21785.0,21797.0,21749.0,21778.0,6814,21647.61694100123,73.48579749738137,11394.15
2025-05-14 17:00:00,21778.0,21791.0,21736.0,21760.0,5094,21658.320089477304,72.16538339042556,11447.45
2025-05-14 18:00:00,21761.0,21794.0,21745.0,21792.0,3688,21671.051509527086,70.51071314825231,11334.8
2025-05-14 19:00:00,21791.0,21848.0,21789.0,21830.0,7157,21686.189461000697,69.68851935194857,11169.05
2025-05-14 20:00:00,21832.0,21889.0,21810.0,21817.0,9392,21698.647607572057,70.35362511252367,10860.7
2025-05-14 21:00:00,21820.0,21846.0,21754.0,21772.0,17112,21705.63354970805,71.8997947473434,10511.15
2025-05-14 22:00:00,21773.0,21850.0,21773.0,21835.0,14682,21717.95416402157,72.33552369396173,10613.55
2025-05-14 23:00:00,21837.0,21837.0,21778.0,21820.0,7619,21727.672815067133,71.38298628725018,10337.55
2025-05-15 00:00:00,21820.0,21845.0,21800.0,21816.0,4781,21736.084927917884,69.4984872667323,10278.4
2025-05-15 01:00:00,21816.0,21820.0,21741.0,21806.0,6414,21742.74350621142,70.17716674767999,10490.25
2025-05-15 02:00:00,21807.0,21828.0,21774.0,21809.0,2723,21749.053648477,69.02165483713142,10524.5
2025-05-15 03:00:00,21810.0,21824.0,21777.0,21818.0,1749,21755.619967669667,67.44867949162204,10509.1
2025-05-15 04:00:00,21817.0,21824.0,21802.0,21818.0,1068,21761.5609231297,64.20234524222047,10558.25
2025-05-15 05:00:00,21818.0,21819.0,21815.0,21817.0,48,21766.840835212584,59.902177724919014,10178.75
2025-05-15 08:00:00,21778.0,21809.0,21722.0,21739.0,8747,21764.189327097098,62.40916503028194,8801.7
2025-05-15 09:00:00,21741.0,21788.0,21676.0,21721.0,33126,21760.076057849757,65.95136752811894,9376.35
2025-05-15 10:00:00,21720.0,21795.0,21693.0,21790.0,16546,21762.92595710216,68.52626984753901,9569.4
2025-05-15 11:00:00,21791.0,21810.0,21762.0,21766.0,11102,21763.218723092432,67.06010771557195,9212.9
2025-05-15 12:00:00,21765.0,21777.0,21751.0,21764.0,5520,21763.29313041696,64.12724287874538,8933.15
2025-05-15 13:00:00,21763.0,21766.0,21692.0,21692.0,9943,21756.50330847249,64.83243981597785,8666.25
2025-05-15 15:00:00,21698.0,21709.0,21651.0,21661.0,8428,21747.407755284636,64.34440840055086,8746.95
2025-05-15 16:00:00,21662.0,21686.0,21630.0,21643.0,5853,21737.46415954324,63.74837922908294,8784.9
2025-05-15 17:00:00,21643.0,21681.0,21635.0,21680.0,4477,21731.991382443885,62.48063785557702,8824.35
2025-05-15 18:00:00,21679.0,21695.0,21659.0,21672.0,3399,21726.277917449228,60.5891637230358,8636.45
2025-05-15 19:00:00,21672.0,21725.0,21671.0,21709.0,4973,21724.632401501683,60.118509171390386,8415.5
2025-05-15 20:00:00,21710.0,21758.0,21675.0,21721.0,9316,21724.286458501523,61.752901373433936,8025.7
2025-05-15 21:00:00,21720.0,21748.0,21648.0,21670.0,13288,21719.116319596615,64.48483698961722,7956.0
2025-05-15 22:00:00,21671.0,21709.0,21646.0,21686.0,13321,21715.962384396935,64.37877720464456,8241.1
2025-05-15 23:00:00,21687.0,21752.0,21675.0,21738.0,9381,21718.06120493056,65.28029311859854,8471.1
2025-05-16 00:00:00,21740.0,21794.0,21732.0,21785.0,8555,21724.436328270505,65.04598646727007,8578.15
2025-05-16 01:00:00,21786.0,21817.0,21762.0,21775.0,5371,21729.251916054265,64.32841600532221,8710.55
2025-05-16 02:00:00,21778.0,21780.0,21731.0,21758.0,3619,21731.989828811,63.233529147799196,8804.05
2025-05-16 03:00:00,21757.0,21783.0,21715.0,21773.0,3096,21735.89555940043,63.57399135152782,8905.45
2025-05-16 04:00:00,21774.0,21788.0,21768.0,21772.0,1217,21739.33407755277,60.46156339784727,8963.9
2025-05-16 05:00:00,21775.0,21776.0,21771.0,21773.0,66,21742.54035588108,56.50002315514389,8529.85
2025-05-16 08:00:00,21775.0,21785.0,21708.0,21719.0,7608,21740.29841722574,57.96430721549076,7253.95
2025-05-16 09:00:00,21718.0,21856.0,21679.0,21806.0,37287,21746.555710823286,66.46685670009856,8291.0
2025-05-16 10:00:00,21806.0,21877.0,21770.0,21821.0,20683,21753.64564312583,69.3620812215201,8770.05
2025-05-16 11:00:00,21821.0,21835.0,21777.0,21786.0,9002,21756.72701044718,68.55050399141152,8944.15
2025-05-16 12:00:00,21785.0,21835.0,21785.0,21820.0,6632,21762.753009452208,67.22546799202499,8778.6
2025-05-16 13:00:00,21819.0,21850.0,21805.0,21825.0,8120,21768.681294266284,65.6379345640232,8763.2
2025-05-16 15:00:00,21806.0,21868.0,21801.0,21856.0,5550,21776.997361479018,65.73522495230726,8748.05
2025-05-16 16:00:00,21857.0,21874.0,21843.0,21860.0,3838,21784.902374671496,63.25413745571389,8716.1
2025-05-16 17:00:00,21861.0,21917.0,21852.0,21889.0,7456,21794.81643422659,63.378841923162895,8918.95
2025-05-16 18:00:00,21890.0,21924.0,21880.0,21911.0,3549,21805.881535728822,61.99463892865126,8847.75
2025-05-16 19:00:00,21911.0,21931.0,21903.0,21909.0,3159,21815.702341849887,59.566450433747605,8539.9
2025-05-16 20:00:00,21908.0,21909.0,21866.0,21872.0,4851,21821.064023578467,58.38313254562278,8118.05
2025-05-16 21:00:00,21872.0,21896.0,21818.0,21878.0,13994,21826.486497523372,59.78433736379258,8151.7
2025-05-16 22:00:00,21878.0,21878.0,21760.0,21802.0,17782,21824.154450140195,63.94259898066454,8571.75
2025-05-16 23:00:00,21800.0,21856.0,21792.0,21831.0,8745,21824.8064072697,63.94669905347422,8581.25
2025-05-17 00:00:00,21831.0,21854.0,21820.0,21838.0,4225,21826.06293991068,61.80764912108321,8523.95
2025-05-17 01:00:00,21837.0,21884.0,21828.0,21849.0,4568,21828.247421823948,61.39281704100584,8571.4
2025-05-17 02:00:00,21850.0,21887.0,21848.0,21876.0,1980,21832.795286412143,59.793330109505426,8515.6
2025-05-17 03:00:00,21877.0,21899.0,21869.0,21881.0,1975,21837.38621151575,57.66523510168361,8553.5
2025-05-17 04:00:00,21881.0,21890.0,21820.0,21830.0,1953,21836.682762799963,58.54628973727764,8647.85
2025-05-17 05:00:00,21830.0,21839.0,21825.0,21825.0,155,21835.570118723776,55.36441189890067,8275.2
2025-05-19 08:00:00,21692.0,21730.0,21654.0,21717.0,12570,21824.277726464366,63.62409676326491,7039.35
2025-05-19 09:00:00,21716.0,21747.0,21620.0,21636.0,35833,21806.34651442014,68.15094699446027,7796.85
2025-05-19 10:00:00,21639.0,21720.0,21615.0,21706.0,18886,21796.789703522983,70.78302220914168,8291.05
2025-05-19 11:00:00,21706.0,21706.0,21535.0,21553.0,22461,21773.571636520795,77.94137776563156,9082.5
2025-05-19 12:00:00,21554.0,21567.0,21505.0,21508.0,12765,21748.27909970929,76.80270792522931,9314.75
2025-05-19 13:00:00,21507.0,21548.0,21498.0,21537.0,11516,21728.15728068936,74.88822878771293,9613.05
2025-05-19 15:00:00,21522.0,21571.0,21514.0,21552.0,5843,21711.380396814184,73.61049816001915,9713.3
2025-05-19 16:00:00,21551.0,21554.0,21502.0,21530.0,4347,21694.10607330807,72.0668911485892,9557.85
2025-05-19 17:00:00,21529.0,21546.0,21515.0,21542.0,2197,21679.61978061206,69.13354178083283,9490.25
2025-05-19 18:00:00,21543.0,21564.0,21518.0,21552.0,3070,21667.465515791864,67.48114593934478,9485.8
2025-05-19 19:00:00,21551.0,21560.0,21532.0,21547.0,1809,21655.992609525973,64.66106408653445,9333.7
2025-05-19 20:00:00,21546.0,21548.0,21484.0,21494.0,5296,21640.56474195207,64.61384522321056,8898.8
2025-05-19 21:00:00,21493.0,21625.0,21475.0,21623.0,18838,21638.891909385202,70.71285627869553,8951.6
2025-05-19 22:00:00,21624.0,21678.0,21612.0,21640.0,16765,21638.997441824707,70.37622368736012,9352.6
2025-05-19 23:00:00,21641.0,21712.0,21632.0,21674.0,9225,21642.331018793782,71.06363628112011,9602.6
2025-05-20 00:00:00,21674.0,21727.0,21674.0,21724.0,5132,21650.1090170039,69.77337654675439,9630.8
2025-05-20 01:00:00,21723.0,21760.0,21716.0,21745.0,5038,21659.146253479717,67.93242107912907,9783.7
2025-05-20 02:00:00,21742.0,21745.0,21709.0,21740.0,2380,21666.846610291173,65.65153385919129,9803.95
2025-05-20 03:00:00,21738.0,21770.0,21719.0,21768.0,2178,21676.480266453917,64.60499572639192,9815.2
2025-05-20 04:00:00,21765.0,21773.0,21739.0,21754.0,1537,21683.86309822021,62.41892460307822,9884.3
2025-05-20 05:00:00,21754.0,21758.0,21752.0,21754.0,93,21690.542803151617,58.389001417144065,9260.45
2025-05-20 08:00:00,21786.0,21786.0,21719.0,21725.0,7449,21693.8244409467,59.00407274449092,7841.25
2025-05-20 09:00:00,21726.0,21734.0,21615.0,21658.0,33150,21690.412589427968,63.289496119884426,8554.45
2025-05-20 10:00:00,21658.0,21668.0,21564.0,21621.0,21038,21683.801866625305,66.19738925417839,8483.3
2025-05-20 11:00:00,21620.0,21631.0,21524.0,21565.0,15833,21672.48740313718,69.11186145030851,8636.7
2025-05-20 12:00:00,21565.0,21570.0,21505.0,21528.0,10554,21658.726698076494,68.81815706100076,8588.6
2025-05-20 13:00:00,21528.0,21564.0,21525.0,21540.0,8677,21647.41939349778,66.68828869950072,8730.3
2025-05-20 15:00:00,21534.0,21566.0,21516.0,21545.0,4491,21637.66516554561,65.49626807810782,8737.5
2025-05-20 16:00:00,21546.0,21599.0,21527.0,21575.0,4117,21631.697054541266,65.96082035824297,8833.5
2025-05-20 17:00:00,21575.0,21589.0,21534.0,21544.0,2917,21623.344954108765,65.17790461836847,8825.85
2025-05-20 18:00:00,21545.0,21579.0,21545.0,21578.0,2201,21619.026387050788,63.022340002770726,8845.45
2025-05-20 19:00:00,21578.0,21594.0,21571.0,21575.0,1925,21614.833397807855,60.16360143114425,8676.9
2025-05-20 20:00:00,21575.0,21588.0,21550.0,21560.0,2461,21609.6111694452,58.58048704320538,7858.05
2025-05-20 21:00:00,21560.0,21582.0,21513.0,21545.0,9643,21603.457724736138,59.32473796869071,7501.95
2025-05-20 22:00:00,21545.0,21616.0,21536.0,21572.0,9731,21600.461750951745,60.80154239949852,7527.25
2025-05-20 23:00:00,21573.0,21595.0,21556.0,21591.0,4959,21599.56063181348,59.24428937096292,7518.6
2025-05-21 00:00:00,21591.0,21607.0,21563.0,21600.0,2799,21599.602476402673,58.15541155875128,7406.65
2025-05-21 01:00:00,21599.0,21610.0,21563.0,21581.0,1818,21597.83081198337,57.358596447411905,7378.55
2025-05-21 02:00:00,21582.0,21584.0,21504.0,21522.0,3985,21590.608829889716,58.97583955831106,7468.9
2025-05-21 03:00:00,21522.0,21593.0,21492.0,21581.0,2991,21589.69370323355,61.97756530414598,7541.6
2025-05-21 04:00:00,21580.0,21599.0,21567.0,21570.0,1498,21587.818112449404,59.836310639564125,7611.85
2025-05-21 05:00:00,21571.0,21578.0,21569.0,21576.0,67,21586.69257793041,56.20514559388098,7242.75
2025-05-21 08:00:00,21563.0,21607.0,21553.0,21594.0,4336,21587.388522889418,56.04763519431805,5802.05
2025-05-21 09:00:00,21594.0,21690.0,21588.0,21645.0,22969,21592.875330233284,59.32994696615248,5898.6
2025-05-21 10:00:00,21642.0,21742.0,21616.0,21722.0,16189,21605.172917830114,64.0920936114273,5916.4
2025-05-21 11:00:00,21723.0,21789.0,21719.0,21779.0,10710,21621.72787803677,64.51408692489679,5924.2
2025-05-21 12:00:00,21778.0,21815.0,21754.0,21813.0,7411,21639.944270604698,64.26308071597559,5860.9
2025-05-21 13:00:00,21811.0,21852.0,21676.0,21677.0,13111,21643.473387689966,72.24428923626306,6291.9
2025-05-21 15:00:00,21665.0,21702.0,21658.0,21685.0,8265,21647.428303148066,70.22684000510141,6499.3
2025-05-21 16:00:00,21683.0,21691.0,21640.0,21651.0,4788,21647.76846475301,68.85349429045131,6592.85
