ts,open,high,low,close,volume
2024-10-10,22777.0,22835.0,22706.0,22782.0,27714
2024-10-11,22824.0,23048.0,22796.0,22991.0,198342
2024-10-12,22990.0,23077.0,22959.0,23036.0,20855
2024-10-14,23001.0,23188.0,22820.0,23147.0,185708
2024-10-15,23147.0,23385.0,22808.0,22864.0,232219
2024-10-16,22863.0,23250.0,22818.0,23188.0,210422
2024-10-17,23188.0,23988.0,23003.0,23973.0,325293
2024-10-18,23973.0,23982.0,23529.0,23759.0,281044
2024-10-19,23760.0,23790.0,23690.0,23738.0,17841
2024-10-21,23810.0,23837.0,23430.0,23571.0,219626
2024-10-22,23570.0,23688.0,23332.0,23569.0,248509
2024-10-23,23570.0,23633.0,23228.0,23381.0,265275
2024-10-24,23382.0,23448.0,23133.0,23279.0,268488
2024-10-25,23280.0,23709.0,23206.0,23658.0,220145
2024-10-26,23659.0,23663.0,23510.0,23551.0,34487
2024-10-28,23644.0,23660.0,23124.0,23158.0,258385
2024-10-29,23156.0,23245.0,22691.0,23035.0,304968
2024-10-30,23035.0,23143.0,22635.0,22833.0,273830
2024-10-31,22832.0,22840.0,22665.0,22701.0,27294
2024-11-01,22406.0,22987.0,22233.0,22918.0,270134
2024-11-02,22918.0,22947.0,22743.0,22785.0,26223
2024-11-04,22790.0,23108.0,22700.0,22997.0,215089
2024-11-05,22999.0,23300.0,22780.0,23237.0,241239
2024-11-06,23239.0,23476.0,22937.0,23063.0,374524
2024-11-07,23062.0,23713.0,23024.0,23699.0,264081
2024-11-08,23699.0,23840.0,23507.0,23555.0,288541
2024-11-09,23554.0,23597.0,23500.0,23559.0,20267
2024-11-11,23558.0,23634.0,23078.0,23151.0,256970
2024-11-12,23152.0,23242.0,22570.0,22719.0,336902
2024-11-13,22718.0,23077.0,22664.0,22753.0,303247
2024-11-14,22753.0,22879.0,22578.0,22800.0,304378
2024-11-15,22801.0,22930.0,22583.0,22619.0,259808
2024-11-16,22619.0,22644.0,22471.0,22555.0,38181
2024-11-18,22652.0,22787.0,22339.0,22585.0,223729
