entry_time,exit_time,entry,exit,stop,t1,t2,reason,ret
2025-08-28T22:00:00,2025-08-29T04:00:00,24407.0,24413.0,24310.71095906025,24551.433561409627,24618.835890067454,time_or_ema,0.00024583111402466505
2025-08-29T08:00:00,2025-08-29T09:00:00,24418.0,24365.50921465623,24365.50921465623,24496.736178015653,24533.47972775629,stop,-0.002149675867956792
2025-09-03T09:00:00,2025-09-03T16:00:00,24053.0,24092.0,23889.361434949933,24298.4578475751,24413.004843110146,time_or_ema,0.0016214193655677046
2025-09-09T21:00:00,2025-09-10T03:00:00,24834.0,24938.0,24739.853920726306,24975.219118910543,25041.121374402126,time_or_ema,0.004187807038737215
2025-09-12T13:00:00,2025-09-12T15:00:00,25465.0,25391.128459610434,25391.128459610434,25575.80731058435,25627.517388857046,stop,-0.00290090478655275
2025-09-15T08:00:00,2025-09-15T09:00:00,25444.0,25375.71425085673,25375.71425085673,25546.428623714906,25594.228648115193,stop,-0.002683766276657351
2025-09-15T21:00:00,2025-09-16T03:00:00,25405.0,25429.0,25347.133061770146,25491.80040734478,25532.30726410568,time_or_ema,0.0009446959259988191
2025-09-16T09:00:00,2025-09-16T16:00:00,25567.0,25638.0,25415.27565822918,25794.586512656228,25900.793551895804,time_or_ema,0.0027770172487972776
2025-09-18T22:00:00,2025-09-19T04:00:00,25783.0,25839.0,25673.11748109239,25947.823778361413,26024.74154159674,time_or_ema,0.0021719737811736416
2025-09-22T10:00:00,2025-09-22T17:00:00,25904.0,25822.0,25759.086940003206,26121.369589995193,26222.808731992947,time_or_ema,-0.0031655342804200125
2025-09-22T22:00:00,2025-09-23T01:00:00,25899.0,26067.154722388976,25822.566035277738,26013.65094708339,26067.154722388976,target,0.005459779711038405
2025-10-01T09:00:00,2025-10-01T11:00:00,26309.0,26044.602196224518,26044.602196224518,26705.59670566322,26890.67516830606,stop,-0.010049709368485397
2025-10-08T12:00:00,2025-10-08T15:00:00,27112.0,27061.918821561318,27061.918821561318,27187.121767658024,27222.178592565102,stop,-0.0018471960179508114
2025-10-20T08:00:00,2025-10-20T15:00:00,27580.0,27821.0,27409.829739209687,27835.25539118547,27954.37457373869,time_or_ema,0.008996653212209396
2025-10-29T00:00:00,2025-10-29T08:00:00,28200.0,28251.0,28077.249396756237,28384.125904865643,28470.05132713628,time_or_ema,0.0018085106382978724
2025-10-30T08:00:00,2025-10-30T09:00:00,28427.0,28372.917466288243,28372.917466288243,28508.123800567635,28545.981574165864,stop,-0.0019025058469679071
2025-11-04T00:00:00,2025-11-04T08:00:00,28509.0,28388.486033176356,28388.486033176356,28689.770950235466,28774.130727012016,stop,-0.004227225326165221
2025-11-11T11:00:00,2025-11-11T12:00:00,28058.0,27947.7478682877,27947.7478682877,28223.378197568447,28300.554689767057,stop,-0.0039294365853695615
2025-11-12T08:00:00,2025-11-12T09:00:00,27941.0,27872.921621707595,27872.921621707595,28043.117567438607,28090.77243224329,stop,-0.002436504716810584
2025-11-12T10:00:00,2025-11-12T17:00:00,28022.0,28148.0,27906.820173819306,28194.76973927104,28275.39561759753,time_or_ema,0.004496467061594462
2025-12-04T13:00:00,2025-12-04T20:00:00,27800.0,27829.0,27733.654555147245,27899.518167279133,27945.959978676063,time_or_ema,0.0010431654676258994
2025-12-08T09:00:00,2025-12-08T16:00:00,28155.0,28278.0,27997.033521199824,28391.949718200263,28502.526253360385,time_or_ema,0.004368673415023974
2025-12-09T12:00:00,2025-12-09T13:00:00,28262.0,28222.0,28199.77237492923,28355.341437606156,28398.900775155693,time_or_ema,-0.0014153280022645247
2025-12-10T00:00:00,2025-12-10T08:00:00,28259.0,28294.0,28203.193601543026,28342.70959768546,28381.774076605343,time_or_ema,0.0012385434728758979
2025-12-11T03:00:00,2025-12-11T09:00:00,28581.0,28392.518220353355,28392.518220353355,28863.722669469968,28995.65991522262,stop,-0.00659465307885116
2025-12-19T11:00:00,2025-12-19T18:00:00,27945.0,27929.0,27796.302753048552,28168.045870427173,28272.133943293185,time_or_ema,-0.0005725532295580604
2025-12-19T22:00:00,2025-12-20T04:00:00,28131.0,28117.0,27899.9027492963,28477.64587605555,28639.41395154814,time_or_ema,-0.0004976716078347731
2025-12-29T09:00:00,2025-12-29T16:00:00,28893.0,28873.0,28698.93653334223,29184.09519998666,29319.939626647098,time_or_ema,-0.0006922091856158932
2025-12-30T11:00:00,2025-12-30T15:00:00,28885.0,28789.65067213903,28789.65067213903,29028.02399179146,29094.768521294136,stop,-0.003300998021844253
2025-12-30T22:00:00,2025-12-31T04:00:00,28922.0,28880.0,28845.540462097335,29036.689306853998,29090.210983385863,time_or_ema,-0.0014521817301708043
2026-01-02T08:00:00,2026-01-02T10:00:00,29097.0,29281.539256501357,29013.11851977211,29222.822220341834,29281.539256501357,target,0.005333221240045207
2026-01-09T22:00:00,2026-01-10T04:00:00,30620.0,30819.0,30474.465333048538,30838.302000427193,30940.176267293216,time_or_ema,0.006499020248203789
